program|semester|course|topic|prerequisites|why
BS-AI|3|Computer Networks|Web Concepts|Application Layer (HTTP, DNS, Email, FTP)|Basic understanding of web pages, servers, and browsers.
BS-AI|3|Computer Networks|Binary arithmetic|Number Systems and Codes|Math operations on binary numbers, required for error checking (CRC).
BS-AI|3|Computer Networks|Basic Client-Server Model|Application Layer (HTTP, DNS, Email, FTP)|Fundamental architecture where a service provider responds to requests from a client.
BS-AI|3|Computer Networks|System Administration|None|Skills required for configuring and managing computer systems and networks.
BS-AI|3|Computer Networks|Information Security Basics|Introduction to Information Security (CIA Triad)|Basic principles of protecting information assets.
BS-AI|3|Computer Networks|Process Management (Scheduling, Context Switching, Inter-process Communication)|Introduction to OS Concepts (Kernel, Shell, Services), Threading & Synchronization (Locks, Semaphores, Monitors)|Covers how the OS manages processes.
BS-AI|3|Computer Networks|Electricity and Magnetism|Calculus & Analytical Geometry, Applied Physics|The principles governing electronic circuits and signals.
BS-AI|3|Data Structures|Introduction to Data Structures|Object Oriented Programming, Algorithms & Flowcharts|Establishes the fundamental trade-offs between different data organization methods in terms of time and space efficiency.
BS-AI|3|Data Structures|Arrays and Linked Lists|Introduction to Pointers / Memory Concepts, Introduction to OS Concepts|These are the foundational linear data structures; lists allow for dynamic size, crucial when data size is unknown beforehand.
BS-AI|3|Data Structures|Stacks and Queues|Arrays and Linked Lists, LIFO/FIFO operations|These abstract data types are essential for managing function calls, system processes, and optimizing BFS/DFS search strategies.
BS-AI|3|Data Structures|Trees and Binary Search Trees|Recursion: Principles and Execution Flow, Arrays and Linked Lists|Efficient, non-linear structures used extensively in databases, compilers, and for organizing data that requires fast searching and insertion.
BS-AI|3|Data Structures|Graphs and Graph Algorithms (Representation, Traversal)|Graph Theory & Trees, Recursion: Principles and Execution Flow|The most general structure used to model relationships and solve complex pathfinding problems.
BS-AI|3|Data Structures|Hashing and Searching (Collision Handling)|Arrays and Linked Lists, Time complexity analysis|Techniques used for incredibly fast average-case data retrieval, essential for caching and map/dictionary implementations.
BS-AI|3|Data Structures|Sorting Algorithms (Quick, Merge, Heap, Insertion)|Recursion: Principles and Execution Flow, Algorithms & Flowcharts|Fundamental algorithms that arrange data in a specific order, critical for efficient data processing and searching.
BS-AI|3|Data Structures|AVL and Red-Black Trees (Self-Balancing)|Trees and Binary Search Trees, Rotation Concepts|Advanced trees that maintain balance to guarantee optimal worst-case search and insertion times, used in databases and file systems.
BS-AI|3|Data Structures|Tries and Suffix Trees|Trees and Binary Search Trees, String manipulation|Highly specialized and efficient structures used for rapid text search, pattern matching, and Natural Language Processing (NLP) applications.
BS-AI|3|Data Structures|Disjoint Set Union (DSU)|Graph Theory & Trees, Set Theory|A specialized data structure used for efficiently solving connectivity problems in graphs and clustering tasks.
BS-AI|3|Data Structures|Amortized Analysis of Algorithms|Sorting Algorithms (Quick, Merge, Heap, Insertion), Code Efficiency and Complexity (Basic Intro)|Advanced method for analyzing the average performance of an algorithm over a sequence of operations.
BS-AI|3|Data Structures|Priority Queues and Heaps|Trees and Binary Search Trees, Stacks and Queues|Used in scheduling processes, managing network traffic, and implementing efficient A* search algorithms.
BS-AI|3|Data Structures|B-Trees and B+-Trees (Conceptual)|Trees and Binary Search Trees, Index Structures (B-Trees, Hashing)|Tree structures optimized for use in disk-based databases where accessing external memory is slow.
BS-AI|3|Data Structures|Complexity Classes (P, NP, NP-Complete Intro)|Code Efficiency and Complexity (Basic Intro), Mathematical Proofs & Induction|Introduction to the classification of computational problems based on how long they take to solve.
BS-AI|3|Data Structures|Garbage Collection (Conceptual Overview)|Memory Management & Virtual Memory (Paging, Segmentation), Introduction to Pointers / Memory Concepts|Understanding automatic memory management techniques used by languages like Python and Java.
BS-AI|3|Data Structures|LIFO/FIFO operations|Stacks and Queues|Last-In, First-Out (Stack) and First-In, First-Out (Queue) procedures.
BS-AI|3|Data Structures|Time complexity analysis|Code Efficiency and Complexity (Basic Intro), Mathematical Proofs & Induction|Evaluating algorithm efficiency using Big O notation.
BS-AI|3|Data Structures|Rotation Concepts|Trees and Binary Search Trees|Algorithms used to rebalance self-balancing trees (AVL, Red-Black).
BS-AI|3|Data Structures|String manipulation|Programming Fundamental|Basic operations on sequences of characters.
BS-AI|3|Software Engineering|Introduction to Software Engineering|Object Oriented Programming, System design and analysis basics|Establishes the principles for building high-quality, large-scale software systems in a systematic and disciplined manner.
BS-AI|3|Software Engineering|Software Development Life Cycle (SDLC)|Project Management (Estimation, Scheduling, Risk), Logical and structured documentation|Provides a framework for managing the entire process of software creation, from initial requirements to final deployment.
BS-AI|3|Software Engineering|Software Requirement Engineering (Functional/Non-Functional)|Communication and analytical skills, Project Management (Estimation, Scheduling, Risk)|Crucial for accurately defining what the software must do, forming the basis for design and testing.
BS-AI|3|Software Engineering|Design Models (DFD, UML, ERD)|Entity-Relationship (ER) Modeling, Object Oriented Programming|Teaches how to visually model and document the system's architecture and component interactions before coding begins.
BS-AI|3|Software Engineering|Testing and Debugging (Unit, Integration, System Testing)|Object Oriented Programming, Error Handling & Debugging Techniques|Ensures the software meets its requirements, functions correctly, and minimizes errors before release.
BS-AI|3|Software Engineering|Project Management (Estimation, Scheduling, Risk)|Foundations of Management (Planning, Organizing, Leading, Controlling), Risk and mitigation strategies|Focuses on planning, organizing, and managing resources to deliver a quality software product on time and within budget.
BS-AI|3|Software Engineering|Software Maintenance and Quality Assurance|Version Control Systems (Git Workflow), Testing and Debugging (Unit, Integration, System Testing)|Covers the necessary processes to keep the software operational, updated, and reliable after deployment.
BS-AI|3|Software Engineering|Agile Methodologies (Scrum, Kanban)|Software Development Life Cycle (SDLC), Project Management (Estimation, Scheduling, Risk)|Modern, iterative approaches to software development that favor flexibility and rapid response to change.
BS-AI|3|Software Engineering|Version Control Systems (Git Workflow)|Software Maintenance and Quality Assurance, Team Collaboration|The essential tool for collaborative development, managing code changes, and tracking project history across teams.
BS-AI|3|Software Engineering|Software Metrics and Measurement|Project Management (Estimation, Scheduling, Risk), Descriptive Statistics (Mean, Median, Mode, Variance)|Techniques for objectively quantifying software size, complexity, and quality to aid in estimation and process improvement.
BS-AI|3|Software Engineering|User Interface (UI) and User Experience (UX) Design|Software Requirement Engineering (Functional/Non-Functional), Design Models (DFD, UML, ERD)|Focuses on making the software intuitive, efficient, and pleasant for the end-user to interact with.
BS-AI|3|Software Engineering|Formal Methods (Introduction)|Mathematical Proofs & Induction, Logic & Propositional Calculus (Syntax, Semantics)|Advanced techniques that use mathematical logic to formally specify and verify software safety and correctness.
BS-AI|3|Software Engineering|Software Architecture (Layered, Microservices Intro)|Design Models (DFD, UML, ERD), Computer Networks|High-level structure of a system, crucial for scalability and maintainability in large-scale AI applications.
BS-AI|3|Software Engineering|Legal and Ethical Issues in Software (Licensing, Patents)|Introduction to Information Security (CIA Triad), Ethical and Legal Issues (Cybercrime, Privacy Laws)|Understanding intellectual property rights, open-source licensing, and legal responsibility in software creation.
BS-AI|3|Software Engineering|System design and analysis basics|Introduction to Software Engineering|Initial phase of breaking down system goals into requirements.
BS-AI|3|Software Engineering|Communication and analytical skills|Software Requirement Engineering (Functional/Non-Functional)|Essential soft skills for extracting and defining project needs.
BS-AI|3|Software Engineering|Risk and mitigation strategies|Project Management (Estimation, Scheduling, Risk)|Identifying potential problems and planning steps to reduce their impact.
BS-AI|3|Software Engineering|Team Collaboration|Version Control Systems (Git Workflow)|Methods for working effectively in a multi-developer environment.
BS-AI|3|Software Engineering|Logical and structured documentation|Software Requirement Engineering (Functional/Non-Functional), Technical Writing Conventions|Skill required for clear and organized documentation.
BS-AI|3|Software Engineering|Foundations of Management (Planning, Organizing, Leading, Controlling)|Introduction to Management|Establishes the essential functions of management.
BS-AI|3|Software Engineering|Ethical and Legal Issues (Cybercrime, Privacy Laws)|Introduction to Information Security (CIA Triad), Ethical Teachings|Addresses the moral and legal responsibilities in technology.
BS-AI|3|Probability & Statistics|Descriptive Statistics (Mean, Median, Mode, Variance)|Basic algebra and arithmetic, Data collection and tabulation|Provides the essential methods for summarizing, visualizing, and understanding the basic features of a dataset.
BS-AI|3|Probability & Statistics|Probability Concepts (Axioms, Conditional Probability)|Set Theory, Combinatorics & Counting|The core mathematical framework for quantifying uncertainty and likelihood of events, fundamental to all probabilistic AI models.
BS-AI|3|Probability & Statistics|Random Variables & Probability Distributions (PDF/PMF, CDF)|Probability Concepts (Axioms, Conditional Probability), Algebra and function transformations|Models the outcomes of random phenomena; essential for generating and analyzing data patterns in ML.
BS-AI|3|Probability & Statistics|Sampling and Estimation (Confidence Intervals)|Random Variables & Probability Distributions (PDF/PMF, CDF), Descriptive Statistics (Mean, Median, Mode, Variance)|Methods for inferring properties about a large population based on a smaller, observed sample.
BS-AI|3|Probability & Statistics|Hypothesis Testing (Z/T-Tests, P-values)|Normal Distribution, Confidence Intervals and Z/t-tests|The formal process for evaluating competing claims about a population using evidence from sample data.
BS-AI|3|Probability & Statistics|Regression and Correlation (Simple Linear Regression)|Linear Algebra, Graphical analysis and linear relationships|Modeling linear relationships between variables, a foundational algorithm used extensively in machine learning prediction models.
BS-AI|3|Probability & Statistics|Applications in Machine Learning (Evaluation, Modeling)|Regression and Correlation (Simple Linear Regression), Python programming and libraries (NumPy, Pandas)|Directly applies statistical tools to the processes of building, training, and evaluating ML models.
BS-AI|3|Probability & Statistics|Bayesian Inference and Priors|Probability Concepts (Axioms, Conditional Probability), Conditional Probability|A core framework for updating beliefs based on new evidence, crucial in AI models like Bayesian Networks.
BS-AI|3|Probability & Statistics|Maximum Likelihood Estimation (MLE)|Random Variables & Probability Distributions (PDF/PMF, CDF), Differentiation & Applications|The standard method for estimating the parameters of a statistical model by finding the parameter values that maximize the likelihood of the observed data.
BS-AI|3|Probability & Statistics|Central Limit Theorem (CLT) and Law of Large Numbers (LLN)|Random Variables & Probability Distributions (PDF/PMF, CDF), Sampling and Estimation (Confidence Intervals)|Theoretical justification for many statistical assumptions in ML; ensures sample means converge to the population mean.
BS-AI|3|Probability & Statistics|Hypothesis Testing (Chi-Square and ANOVA Tests)|Hypothesis Testing (Z/T-Tests, P-values), Normal Distribution|Advanced statistical tests for comparing distributions and differences across multiple groups.
BS-AI|3|Probability & Statistics|Non-Parametric Statistics (Conceptual)|Random Variables & Probability Distributions (PDF/PMF, CDF), Descriptive Statistics (Mean, Median, Mode, Variance)|Statistical methods that do not rely on strong assumptions about the underlying distribution of the data.
BS-AI|3|Probability & Statistics|Covariance and Co-occurrence Matrices|Descriptive Statistics (Mean, Median, Mode, Variance), Matrices and Determinants|Measures the joint variability of two random variables, essential for dimensionality reduction techniques like PCA.
BS-AI|3|Probability & Statistics|Time Series Analysis (Basic Smoothing)|Random Variables & Probability Distributions (PDF/PMF, CDF), Regression and Correlation (Simple Linear Regression)|Techniques for analyzing data points collected over a period of time, used in forecasting and sequence modeling.
BS-AI|3|Probability & Statistics|Introduction to Stochastic Processes|Probability Concepts (Axioms, Conditional Probability), Random Variables & Probability Distributions (PDF/PMF, CDF)|Models sequence of events where outcomes are random (e.g., Markov Chains), critical for modeling agent behavior and time series.
BS-AI|3|Probability & Statistics|Basic algebra and arithmetic|None|Fundamental mathematical operations required for statistical calculations.
BS-AI|3|Probability & Statistics|Data collection and tabulation|None|Initial skills for gathering and organizing raw data.
BS-AI|3|Probability & Statistics|Normal Distribution|Random Variables & Probability Distributions (PDF/PMF, CDF)|The most common probability distribution (bell curve), central to hypothesis testing.
BS-AI|3|Probability & Statistics|Confidence Intervals and Z/t-tests|Hypothesis Testing (Z/T-Tests, P-values)|Statistical tools used to estimate population parameters and test hypotheses.
BS-AI|3|Probability & Statistics|Graphical analysis and linear relationships|Analytical Geometry (Lines, Circles, Conics)|Visual interpretation of data trends.
BS-AI|3|Probability & Statistics|Python programming and libraries (NumPy, Pandas)|Programming for AI (Python for AI)|Proficiency in the core tools for data manipulation and analysis.
BS-AI|3|Probability & Statistics|Conditional Probability|Probability Concepts (Axioms, Conditional Probability)|Likelihood of an event occurring based on the occurrence of a prior event (used in Bayes).
BS-AI|3|Information Security|Introduction to Information Security (CIA Triad)|Computer Networks, Data handling and storage concepts|Establishes the core principles (Confidentiality, Integrity, Availability) necessary for protecting information assets.
BS-AI|3|Information Security|Cryptography (Symmetric & Asymmetric)|Modular arithmetic and number theory, Algorithm design|The mathematical techniques used to secure data, communications, and identity verification in modern systems.
BS-AI|3|Information Security|Network Security (Firewalls, IDS, VPNs)|Computer Networks, Cryptography (Symmetric & Asymmetric)|Focuses on protecting the network infrastructure and communication channels from external and internal threats.
BS-AI|3|Information Security|Access Control & Authentication (Hashing, Biometrics)|Operating System Security, Cryptography (Symmetric & Asymmetric)|Ensures that only authorized users can access specific resources, foundational to user security.
BS-AI|3|Information Security|Malware, Threats, and Vulnerabilities|Operating System Security, Network Security (Firewalls, IDS, VPNs)|Detailed classification of software threats and the weaknesses in systems that attackers exploit.
BS-AI|3|Information Security|Security Policies & Risk Management|Introduction to Management, Risk and mitigation strategies|The formal administrative and procedural methods used to manage security risk across an entire organization.
BS-AI|3|Information Security|Ethical and Legal Issues (Cybercrime, Privacy Laws)|Understanding of data privacy laws, Cyber ethics|Addresses the moral and legal responsibilities associated with developing and using security systems and managing user data.
BS-AI|3|Information Security|Public Key Infrastructure (PKI)|Cryptography (Asymmetric), Digital Certificates|The comprehensive system used for creating, managing, and revoking digital certificates, essential for web security (HTTPS).
BS-AI|3|Information Security|Transport Layer Security (TLS/SSL)|Cryptography (Symmetric & Asymmetric), Network Security (Firewalls, IDS, VPNs)|The protocol used to secure web traffic and ensure privacy and integrity between a client and a server.
BS-AI|3|Information Security|Operating System Security|Introduction to OS Concepts, Access Control & Authentication (Hashing, Biometrics)|Techniques for securing the core operating system software, user accounts, and system logs.
BS-AI|3|Information Security|Steganography and Watermarking|Data Representation & Number Systems, Image Processing|Methods for hiding data within seemingly innocent files (e.g., images or audio).
BS-AI|3|Information Security|Security Attacks (DoS, Phishing, Man-in-the-Middle)|Network Security (Firewalls, IDS, VPNs), Access Control & Authentication (Hashing, Biometrics)|Detailed study of common attack vectors and the methodologies used by malicious actors.
BS-AI|3|Information Security|Web Application Security (XSS, SQL Injection Intro)|SQL (DDL, DML, DCL, TCL), Web Concepts|Focuses on vulnerabilities found in dynamic web applications and how to prevent them.
BS-AI|3|Information Security|Introduction to Digital Forensics|Knowledge of Computer Systems, File Systems & I/O Management|The process of legally acquiring, preserving, and analyzing digital evidence during an investigation.
BS-AI|3|Information Security|Data handling and storage concepts|Introduction to ICT Concepts|Basic concepts of how information is managed and kept safe.
BS-AI|3|Information Security|Modular arithmetic and number theory|Introduction to Elementary Number Theory, Basic math|Mathematical concepts underlying cryptography.
BS-AI|3|Information Security|Algorithm design|Algorithms & Flowcharts|The process of creating efficient and correct procedures, relevant for cryptographic algorithms.
BS-AI|3|Information Security|Understanding of data privacy laws|Ethical and Legal Issues (Cybercrime, Privacy Laws)|Familiarity with laws like GDPR, relevant to ethical computing.
BS-AI|3|Information Security|Cyber ethics|Ethical and Legal Issues (Cybercrime, Privacy Laws)|Moral principles governing the use of computers and information technology.
BS-AI|3|Information Security|Cryptography (Asymmetric)|Cryptography (Symmetric & Asymmetric)|Encryption systems using a public key and a private key.
BS-AI|3|Information Security|Digital Certificates|Public Key Infrastructure (PKI)|Electronic documents used to prove ownership of a public key.
BS-AI|3|Information Security|Image Processing|Data Representation & Number Systems|Techniques for analyzing and manipulating digital images.
BS-AI|3|Information Security|Knowledge of Computer Systems|Computer Hardware Components, Software & Operating Systems|General understanding of how a computer works.
BS-AI|3|Information Security|File Systems & I/O Management|Operating System, File Handling|Covers how the OS organizes and manages data storage.
BS-AI|4|Machine Learning|Introduction to Machine Learning (Supervised vs Unsupervised)|Artificial Intelligence, Python for AI (Data Structures, Syntax Review)|Establishes the fundamental paradigms, terminology, and workflow of the machine learning process.
BS-AI|4|Machine Learning|Linear Regression and Logistic Regression|Linear Algebra, Partial Derivatives, Probability & Statistics (Conceptual)|Two foundational algorithms used widely for continuous prediction and binary classification tasks, respectively.
BS-AI|4|Machine Learning|Evaluation Metrics (Accuracy, Precision, Recall, F1-score)|Probability Concepts (Axioms, Conditional Probability), Regression and Correlation (Simple Linear Regression)|Crucial measures used to quantitatively assess the performance and validity of a trained ML model.
BS-AI|4|Machine Learning|Classification Algorithms (KNN, Decision Trees, Naïve Bayes)|Data Preprocessing and Cleaning (Handling Missing Values), Evaluation Metrics (Accuracy, Precision, Recall, F1-score)|Three essential, diverse algorithms used for predicting categorical outcomes.
BS-AI|4|Machine Learning|Unsupervised Learning (K-Means, PCA)|Eigenvalues and Eigenvectors, Vector Spaces and Bases in R^n|Techniques used to find hidden patterns or reduce the dimensionality of unlabeled data without prior knowledge.
BS-AI|4|Machine Learning|Neural Networks (Introduction to Deep Learning)|Multivariable Calculus, Linear Algebra, Python for AI (Data Structures, Syntax Review)|The foundation of Deep Learning; introducing interconnected layers of neurons for pattern recognition.
BS-AI|4|Machine Learning|Model Optimization (Gradient Descent, Regularization)|Differentiation & Applications, Unsupervised Learning (K-Means, PCA)|The mathematical methods used to efficiently adjust model parameters to minimize error and ensure good generalization on new data.
BS-AI|4|Machine Learning|Support Vector Machines (SVM)|Classification Algorithms (KNN, Decision Trees, Naïve Bayes), Linear Algebra|A powerful classification technique that finds the optimal separating hyperplane between classes.
BS-AI|4|Machine Learning|Clustering Algorithms (DBSCAN, Hierarchical)|Unsupervised Learning (K-Means, PCA), Distance Metrics|Alternative and more complex clustering methods used when K-Means assumptions don't hold.
BS-AI|4|Machine Learning|Bias-Variance Tradeoff and Cross-Validation|Evaluation Metrics (Accuracy, Precision, Recall, F1-score), Overfitting/Underfitting Concepts|A core conceptual understanding required for model selection, ensuring the model generalizes well to unseen data.
BS-AI|4|Machine Learning|Ensemble Methods (Bagging, Boosting, Random Forests)|Decision Trees, Probability & Statistics (Conceptual)|Techniques that combine multiple weak models to form a single, highly powerful, and stable predictive model.
BS-AI|4|Machine Learning|Model Persistence and Deployment|AI Project Development Workflow, File Handling|The process of saving a trained model to disk and loading it later for making predictions in a production environment.
BS-AI|4|Machine Learning|Feature Engineering Techniques|Data Preprocessing and Cleaning (Handling Missing Values), Statistics (Conceptual)|The essential art and science of transforming raw data into effective features that significantly improve model performance.
BS-AI|4|Machine Learning|Ethical Concerns in ML (Bias and Fairness)|Evaluation Metrics (Accuracy, Precision, Recall, F1-score), Statistics (Conceptual), Ethical and Legal Issues (Cybercrime, Privacy Laws)|Crucial module discussing how biases in training data can lead to unfair or discriminatory predictions by the AI system.
BS-AI|4|Machine Learning|Python programming and libraries (NumPy, Pandas)|Programming for AI (Python for AI)|Proficiency in the core tools for data manipulation and analysis.
BS-AI|4|Machine Learning|Distance Metrics|Unsupervised Learning (K-Means, PCA)|Functions used to measure the similarity or dissimilarity between two data points.
BS-AI|4|Machine Learning|Overfitting/Underfitting Concepts|Model Optimization (Gradient Descent, Regularization)|Problems that occur when models are too simple or too complex for the training data.
BS-AI|4|Machine Learning|Decision Trees|Classification Algorithms (KNN, Decision Trees, Naïve Bayes)|A non-parametric supervised learning method used for classification and regression.
BS-AI|4|Applied Physics|Mechanics (Motion, Forces, Work, Energy)|High school physics, Algebra and trigonometry|Fundamental principles governing the motion and interaction of objects, essential for robotics, simulation, and computer graphics.
BS-AI|4|Applied Physics|Waves and Oscillations (Harmonic Motion, Sound, Light)|Differential equations and sine/cosine functions, Energy propagation|Concepts underlying signal processing, communication systems, and physical modeling in computer applications.
BS-AI|4|Applied Physics|Electricity and Magnetism|Coulomb’s law, current, voltage basics, Calculus & Analytical Geometry|The principles governing electronic circuits, power, and electromagnetic phenomena, vital for hardware interfacing.
BS-AI|4|Applied Physics|Modern Physics (Quantum, Atomic, and Nuclear Basics)|Basic math (complex numbers, exponents), classical mechanics concepts|Introduces the principles underlying semiconductors, lasers, and potential future technologies like quantum computing.
BS-AI|4|Applied Physics|Semiconductors and Electronics (PN Junction, Diodes, Transistors)|Modern Physics (Quantum, Atomic, and Nuclear Basics), Basic circuits and current–voltage relationship|The physical basis of all digital electronics and integrated circuits (ICs), necessary for understanding hardware limitations.
BS-AI|4|Applied Physics|Applications in Computing (Sensors, Data Storage)|Digital Logic Design, Semiconductors and Electronics (PN Junction, Diodes, Transistors)|Directly links physical laws and components to their function within a computer system.
BS-AI|4|Applied Physics|Superconductivity and its Applications|Modern Physics (Quantum, Atomic, and Nuclear Basics), Quantum Concepts|Advanced material science with zero electrical resistance, having potential for high-speed computing and advanced sensor technology.
BS-AI|4|Applied Physics|Lasers and Optical Fibers|Waves and Oscillations (Harmonic Motion, Sound, Light), Electricity and Magnetism|Core technology behind high-speed internet, data centers, and advanced sensor applications used in computer vision.
BS-AI|4|Applied Physics|Transistors and Integrated Circuits|Semiconductors and Electronics (PN Junction, Diodes, Transistors), Digital Logic Design|Detailed understanding of the operation of the transistor, the fundamental electronic switch of all modern computation.
BS-AI|4|Applied Physics|Magnetism in Data Storage|Electricity and Magnetism, Memory/Storage Devices (RAM, ROM, Cache Intro)|Physical principles behind hard disk drives (HDDs) and magnetic memory devices.
BS-AI|4|Applied Physics|Thermodynamics (Conceptual)|Mechanics (Motion, Forces, Work, Energy), Work and Energy concepts|Understanding heat transfer and energy efficiency, relevant to managing power consumption in large data centers and CPUs.
BS-AI|4|Applied Physics|Optoelectronics (LEDs, Photodiodes)|Semiconductors and Electronics (PN Junction, Diodes, Transistors), Light/Signals|Study of devices that convert light to electricity or vice versa, used in fiber optics and image sensors.
BS-AI|4|Applied Physics|Acoustics (Sound Waves)|Waves and Oscillations (Harmonic Motion, Sound, Light), Fourier Series and Transforms (Introduction)|The physics of sound, relevant to audio processing and speech recognition systems in AI.
BS-AI|4|Applied Physics|High school physics|None|Fundamental knowledge of physics concepts (Newton's laws, energy).
BS-AI|4|Applied Physics|Algebra and trigonometry|Basic Algebra|Mathematical tools for analyzing physical problems.
BS-AI|4|Applied Physics|Energy propagation|Waves and Oscillations (Harmonic Motion, Sound, Light)|How energy travels through a medium, relevant to signals.
BS-AI|4|Applied Physics|Basic circuits and current–voltage relationship|Electricity and Magnetism|Fundamental laws governing the flow of electricity in a closed loop.
BS-AI|4|Applied Physics|Quantum Concepts|Modern Physics (Quantum, Atomic, and Nuclear Basics)|Principles of quantum mechanics related to semiconductors.
BS-AI|4|Applied Physics|Light/Signals|Waves and Oscillations (Harmonic Motion, Sound, Light)|The physics of light and its use in communication and sensors.
BS-AI|4|Comp Org. & Assembly Lang|Introduction to Computer Organization (Von Neumann/Harvard)|Computer Hardware Components, Data Representation & Number Systems|Establishes the fundamental structure of a computer system, including the relationship between the CPU, memory, and I/O.
BS-AI|4|Comp Org. & Assembly Lang|Data Representation (Signed/Unsigned, Floating Point Standards)|Number Systems and Codes, Boolean Algebra|Detailed methods for representing various data types within the fixed bit-width of a computer.
BS-AI|4|Comp Org. & Assembly Lang|Processor Architecture (Registers, ALU, Control Unit)|Sequential Circuits (Flip-Flops, Counters, Registers), Instruction cycle and timing diagrams|Detailed components and functions of the CPU, explaining where computation, data storage, and control logic occur.
BS-AI|4|Comp Org. & Assembly Lang|Instruction Set Architecture (ISA) & Addressing Modes|Assembly Language Programming (Basic Instruction Set), Memory and Storage Devices (RAM, ROM, Cache Intro)|The set of commands that a CPU understands and the methods it uses to locate and access data in memory.
BS-AI|4|Comp Org. & Assembly Lang|Assembly Language Programming (Basic Instruction Set)|Processor Architecture (Registers, ALU, Control Unit), Programming Fundamental|Low-level coding that provides a direct understanding of how programs translate into CPU commands and machine operations.
BS-AI|4|Comp Org. & Assembly Lang|Memory Hierarchy (Cache, RAM, ROM, Virtual Memory Intro)|Processor Architecture (Registers, ALU, Control Unit), Memory and Storage Devices (RAM, ROM, Cache Intro)|Covers the different levels of memory in a computer and the techniques used to manage data movement for performance.
BS-AI|4|Comp Org. & Assembly Lang|Input/Output Systems (Programmed I/O, Interrupts, DMA)|Processor Architecture (Registers, ALU, Control Unit), Interrupts and DMA concepts|Explains how the CPU communicates with external peripherals and manages data transfer efficiently.
BS-AI|4|Comp Org. & Assembly Lang|Pipelining and Parallel Processing (Conceptual)|Processor Architecture (Registers, ALU, Control Unit), Instruction Cycle|Advanced techniques used to speed up CPU execution by overlapping the execution phases of multiple instructions.
BS-AI|4|Comp Org. & Assembly Lang|Interrupt Handling and Exceptions|Input/Output Systems (Programmed I/O, Interrupts, DMA), Processor Architecture (Registers, ALU, Control Unit)|How the CPU detects, prioritizes, and responds to urgent external events or internal errors during program execution.
BS-AI|4|Comp Org. & Assembly Lang|RISC vs. CISC Architectures|Instruction Set Architecture (ISA) & Addressing Modes, Assembly Language Programming (Basic Instruction Set)|Comparison of different fundamental CPU design philosophies.
BS-AI|4|Comp Org. & Assembly Lang|Virtual Memory and Paging/Segmentation|Memory Hierarchy (Cache, RAM, ROM, Virtual Memory Intro), Operating System|A technique used by the OS to create the illusion of large, contiguous memory space, crucial for modern OS.
BS-AI|4|Comp Org. & Assembly Lang|Bus Structures and Interconnection Networks|Computer Hardware Components, Digital Logic Design|The communication channels and protocols used to link all components together.
BS-AI|4|Comp Org. & Assembly Lang|Floating Point Arithmetic (IEEE 754 Standard)|Data Representation (Signed/Unsigned, Floating Point Standards), Binary Number Systems|Detailed understanding of how real numbers are stored and calculated in hardware, critical for numerical stability in ML.
BS-AI|4|Comp Org. & Assembly Lang|Cache Coherence Protocols|Memory Hierarchy (Cache, RAM, ROM, Virtual Memory Intro), Concurrency Concepts|Ensuring data consistency in the cache when multiple processors or cores share the same memory.
BS-AI|4|Comp Org. & Assembly Lang|Instruction Cycle|Processor Architecture (Registers, ALU, Control Unit), Timing concepts|The sequence of steps a CPU follows to execute one instruction (Fetch, Decode, Execute).
BS-AI|4|Comp Org. & Assembly Lang|Interrupts and DMA concepts|Input/Output Systems (Programmed I/O, Interrupts, DMA), Processor Architecture (Registers, ALU, Control Unit)|Mechanisms for handling asynchronous I/O efficiently.
BS-AI|4|Comp Org. & Assembly Lang|Concurrency Concepts|Threading & Synchronization (Locks, Semaphores, Monitors), Process Management (Scheduling, Context Switching, Inter-process Communication)|Dealing with multiple tasks executing seemingly simultaneously.
BS-AI|4|Expository Writing|Introduction to Expository Writing|Functional English, Reading Comprehension & Skimming/Scanning|Establishes the principles of non-fiction writing designed to explain, inform, or analyze, often used in academic reports.
BS-AI|4|Expository Writing|Writing Process (Planning, Drafting, Revising, Editing)|Paragraph Writing & Coherence, Writing Effective Thesis Statements|Teaches the systematic steps for developing clear and well-structured academic prose.
BS-AI|4|Expository Writing|Organization of Essays and Reports (Outlining, Thesis Statements)|Writing Process (Planning, Drafting, Revising, Editing), Essay & Report Writing|Focuses on structuring the paper effectively to guide the reader through the argument or explanation.
BS-AI|4|Expository Writing|Descriptive, Narrative, and Analytical Writing|Sentence Structure & Syntax, Understanding Audience and Purpose|Practicing different rhetorical modes to effectively convey different types of information.
BS-AI|4|Expository Writing|Argumentative and Persuasive Writing|Critical thinking and logical reasoning, Referencing and Citation Styles (APA/IEEE)|Teaches how to construct a strong, evidence-based argument and convince the reader of a particular viewpoint.
BS-AI|4|Expository Writing|Editing and Proofreading|Grammar and punctuation mastery, Writing Process (Planning, Drafting, Revising, Editing)|Final stage for ensuring the document is grammatically correct, clear, and professional before submission.
BS-AI|4|Expository Writing|Writing Effective Thesis Statements|Organization of Essays and Reports (Outlining, Thesis Statements), Clear Thinking|Crucial skill for condensing the entire purpose of a paper into one strong, focused sentence.
BS-AI|4|Expository Writing|Synthesizing Sources and Integrating Quotes|Argumentative and Persuasive Writing, Referencing and Citation Styles (APA/IEEE)|Using external research to support one's argument academically and smoothly integrating sourced material into the text.
